Cotton_A_34160	1818	654	420;87;147	67;1097	3
Cotton_A_23912	2741	1167	33;169;254;127;371;87;126	286;716;129;92;241;110	7
Cotton_A_39715	8626	1923	222;75;144;55;110;177;99;102;50;85;158;106;183;243;114	386;754;346;98;879;1118;639;434;117;664;200;91;397;580	15
Cotton_A_00577	3500	1707	1085;247;147;228	631;916;246	4
Cotton_A_40211	278	252	159;93	26	2
Cotton_A_24145	3436	1062	99;81;90;78;322;392	92;105;375;1504;298	6
Cotton_A_22839	3181	1263	198;125;172;213;125;172;258	187;225;236;809;225;236	7
Cotton_A_24816	1380	351	76;275	1029	2
Cotton_A_34381	2358	2358	2358		1
Cotton_A_34958	336	336	336		1
Cotton_A_20848	1134	1134	1134		1
Cotton_A_00729	3471	1581	231;123;171;93;84;56;94;186;81;87;105;107;61;102	104;282;75;82;74;92;88;102;79;79;94;91;648	14
Cotton_A_28099	783	783	783		1
Cotton_A_19671	966	966	966		1
Cotton_A_28093	759	552	289;161;102	87;120	3
Cotton_A_00618	6783	1542	17;339;137;428;132;489	86;4903;94;82;76	6
Cotton_A_24161	2642	1179	829;350	1463	2
Cotton_A_27099	2770	1005	596;190;219	985;780	3
Cotton_A_29547	1245	327	134;94;65;34	87;734;97	4
Cotton_A_22858	2016	423	13;285;42;83	294;1127;172	4
Cotton_A_19601	2288	1107	134;130;201;168;474	92;91;280;718	5
Cotton_A_22438	411	411	411		1
Cotton_A_19584	2028	2028	2028		1
Cotton_A_27349	3408	2340	983;351;98;170;288;450	77;125;93;101;672	6
Cotton_A_08747	2001	1437	411;168;45;208;82;523	87;86;94;110;187	6
Cotton_A_19598	1416	1416	1416		1
Cotton_A_24800	3595	2121	168;77;165;214;87;140;81;65;176;131;88;214;107;408	236;275;110;78;93;59;125;84;72;88;70;86;98	14
Cotton_A_08931	861	708	207;501	153	2
Cotton_A_27351	6583	1863	94;133;72;144;72;72;77;129;342;395;333	912;84;629;1427;96;135;456;87;353;541	11
Cotton_A_36025	1173	1173	1173		1
Cotton_A_00657	3692	1011	48;75;66;54;129;2;66;77;79;113;65;66;171	172;92;679;109;1;102;80;128;919;100;205;94	13
Cotton_A_34185	1642	678	495;183	964	2
Cotton_A_04375	10645	3306	301;3005	7339	2
Cotton_A_00683	240	240	240		1
Cotton_A_00759	5966	3513	171;125;445;116;784;456;189;228;343;184;472	1095;283;116;164;242;172;81;82;115;103	11
Cotton_A_40031	231	231	231		1
Cotton_A_34825	4505	1359	156;112;28;99;70;35;75;96;64;54;86;61;65;106;89;163	80;117;194;132;113;107;90;681;281;198;84;93;87;634;255	16
Cotton_A_31381	297	297	297		1
